recommendation,feature_index,variable,label,source,clinical_category,summary_mode,valid_fraction,hourly_coverage,point_biserial_corr,auroc,auprc,ap_lift_over_prevalence,mutual_information,univariate_relevance_score,correlation_cluster_id,correlation_cluster_size,mrmr_rank,mrmr_score,elasticnet_selection_probability,elasticnet_mean_abs_coefficient,rfecv_selected,consensus_score,physiology_direction_hint
core,13,chartevents::220621::Glucose (serum)::valuenum,Glucose (serum),chartevents,bedside_glucose,observed_fraction,1.0,0.0536523275077343,-0.09649666257385309,0.4176029606866337,0.1225036631256206,0.8756500697571098,0.005293760631790656,0.4253905807098071,10,1,29.0,0.33284686703739164,1.0,0.10932608107104898,False,0.6342838408796088,
core,24,labevents::50820::pH::valuenum,pH,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.030823981389403343,0.09016304711698757,0.5762936530209226,0.1680852833618261,1.201465216187028,0.00793214856598845,0.4284812597492602,21,5,30.0,0.3291975396580352,1.0,0.198897143692011,False,0.6318777112581114,lower_may_indicate_acidosis
core,37,labevents::50809::Glucose::valuenum,Glucose,labevents,lab_metabolic,mean,0.09214463840399002,0.006068163085728884,0.058524937624779,0.5437183383991895,0.27303521341883297,1.9516420780918364,0.057121499236552964,0.43605030951743956,30,1,13.0,0.4212260092487961,0.9875,0.05428131772205234,False,0.5962795566956309,
core,39,labevents::50811::Hemoglobin::valuenum,Hemoglobin,labevents,lab_cbc,slope,0.03154613466334165,0.008790523745119572,-0.13845356629619732,0.36652892561983474,0.15170915263708457,1.0844094511135636,0.031200911995724168,0.47575914483246873,32,1,8.0,0.4608578600851524,0.8125,0.008976964305293222,False,0.5662990235827414,
core,43,labevents::51250::MCV::valuenum,MCV,labevents,lab_other,slope,0.09638403990024938,0.055304449051618576,0.06053421015525346,0.5634015594541911,0.20183221085876327,1.4426865695965077,0.02288838459677134,0.3749164488374676,36,1,18.0,0.36714967199702475,1.0,0.05209620128152892,False,0.5654466719745985,
core,60,labevents::51274::PT::valuenum,PT,labevents,lab_coagulation,max,0.6374064837905237,0.0370635911822319,0.06732760209737745,0.5676279434719823,0.16425774320324285,1.1741061501693473,0.01245045026941427,0.3742596269496137,43,2,28.0,0.3331129210161557,0.9125,0.07011375641450286,False,0.5597685364639364,
core,8,chartevents::220051::Arterial Blood Pressure diastolic::valuenum,Arterial Blood Pressure diastolic,chartevents,vital_blood_pressure,max,0.1669576059850374,0.09489817172288895,-0.05124037156717112,0.4468349039648678,0.16368064152568873,1.1699810561818393,0.034524219865332384,0.3743493828300572,5,1,20.0,0.35779897370657465,0.975,0.048901976963679775,False,0.5581672421141876,low_or_high_may_indicate_instability
strong,2,chartevents::220277::O2 saturation pulseoxymetry::valuenum,O2 saturation pulseoxymetry,chartevents,vital_oxygen_saturation,observed_fraction,1.0,0.6085671186447144,-0.15141141660566232,0.3811319409020363,0.1161462077258901,0.8302072958659881,0.026092689808102643,0.5818207287819225,1,3,5.0,0.556772126082846,0.6,0.13790906239009929,False,0.6412128853012433,lower_may_indicate_worse_oxygenation
strong,12,chartevents::225664::Glucose finger stick (range 70-100)::valuenum,Glucose finger stick (range 70-100),chartevents,bedside_glucose,observed_fraction,1.0,0.0581047385931015,-0.06377464792210176,0.4381930953145116,0.12577375813688538,0.8990245456843322,0.005340611520320948,0.3701043803523417,9,1,33.0,0.3148620480651826,1.0,0.07913225933443754,False,0.6043646474390358,
strong,36,labevents::50868::Anion Gap::valuenum,Anion Gap,labevents,lab_metabolic,last,0.8759351620947631,0.06262988597154617,0.06866093234704411,0.5455495728139337,0.15794116365121422,1.1289555547974492,0.002203097654470465,0.3605482624242939,29,1,31.0,0.32099069937696917,0.9125,0.027348313543507176,False,0.5695079949367645,
strong,27,labevents::50802::Base Excess::valuenum,Base Excess,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.027182044461369514,0.09833882496691276,0.5834726178090837,0.17143728612481773,1.2254251646355065,0.00772898579740211,0.44218939102910926,21,5,15.0,0.4003644204326704,0.6,0.042911282570275947,False,0.565990150642066,
strong,41,labevents::51265::Platelet Count::valuenum,Platelet Count,labevents,lab_cbc,min,0.8629675810473816,0.0559590607881546,-0.034723828780952364,0.46340157557261086,0.12069576776836974,0.862727323977117,0.012336250821525674,0.31788297975217666,34,1,38.0,0.29259380026406084,0.9875,0.046587077411822976,False,0.5545783186970579,
strong,46,labevents::51277::RDW::valuenum,RDW,labevents,lab_other,min,0.8625935162094763,0.05529925227165222,0.046967713414393805,0.5271600762381508,0.14805878350504403,1.0583167947508496,0.007985056209706798,0.32884528923781836,37,1,37.0,0.2958172249421036,0.9625,0.05327996606938541,False,0.5536629383922932,
strong,14,chartevents::226537::Glucose (whole blood)::valuenum,Glucose (whole blood),chartevents,bedside_glucose,last_minus_first,0.07007481296758104,0.004041978158056736,0.0954089041135851,0.5671802983145398,0.2931466849133481,2.0953978725535225,0.0008447231066464056,0.36120548694782745,11,1,22.0,0.3502102301624928,1.0,0.05892585163819604,False,0.5453691273811063,
strong,55,labevents::51006::Urea Nitrogen::valuenum,Urea Nitrogen,labevents,lab_renal,slope,0.13802992518703242,0.06319617480039597,0.0762993365751288,0.5649246565223813,0.16932978883770888,1.2103608792142828,0.01244247296565093,0.34930771395366234,39,1,27.0,0.34074555662693734,1.0,0.06997728394344449,False,0.5319286400381352,
strong,38,labevents::51301::White Blood Cells::valuenum,White Blood Cells,labevents,lab_cbc,max,0.8628428927680798,0.055356401950120926,0.02548388509393061,0.5469732399636942,0.14262628686303194,1.0194855798943996,0.012253338663009261,0.327434885262071,31,1,35.0,0.3095136638010272,0.8625,0.014781030892117996,False,0.5299314215220959,
strong,54,labevents::50912::Creatinine::valuenum,Creatinine,labevents,lab_renal,observed_fraction,1.0,0.06339360028505325,-0.06184176562934323,0.4518626779107226,0.1287495603322862,0.9202954312521706,0.0015917904449489484,0.34727872198062865,22,8,48.0,0.24943897451427527,0.9375,0.18764202737947927,False,0.5287669499275219,
strong,58,"labevents::50883::Bilirubin, Direct::valuenum","Bilirubin, Direct",labevents,lab_liver_protein,mean,0.025685785536159602,0.0012053200043737888,0.06251406570867533,0.5869318181818182,0.18405187828740288,1.3155936398083523,0.03110573706336872,0.3544119497467573,42,1,26.0,0.3417014788229234,1.0,0.04889533746172674,False,0.5255588301443098,
strong,11,chartevents::223762::Temperature Celsius::valuenum,Temperature Celsius,chartevents,vital_temperature,mean,0.04812967581047382,0.02797173708677292,-0.06424589489694923,0.384047619047619,0.08314641919107803,0.5943264544674205,0.031017283537183138,0.3484330332014128,8,1,25.0,0.34255759821671466,0.975,0.07432377819059184,False,0.5218428775414713,
strong,51,labevents::50808::Free Calcium::valuenum,Free Calcium,labevents,lab_electrolyte,observed_fraction,1.0,0.01307668350636959,0.07330853025659563,0.5417998784426394,0.15718527814184882,1.1235525229034113,0.0013979969129023218,0.33597561672855025,38,1,45.0,0.2674118552688779,0.8875,0.039167933486169204,False,0.5203760183518984,
strong,52,labevents::50960::Magnesium::valuenum,Magnesium,labevents,lab_electrolyte,observed_fraction,1.0,0.06003221124410629,-0.06303752939286018,0.44951099262024846,0.12865467222634494,0.9196171758068507,0.007737945042396888,0.36903671742263794,22,8,39.0,0.2907279326625964,0.775,0.06338262395237777,False,0.5165443485601248,
strong,28,labevents::50882::Bicarbonate::valuenum,Bicarbonate,labevents,lab_blood_gas_respiration,observed_fraction,1.0,0.06268183887004852,-0.06250628071801785,0.44938908640237246,0.12839179387851468,0.917738134497048,0.00028346060219663904,0.3459501414569683,22,8,49.0,0.2390126778636471,0.9,0.152908506966196,False,0.5137850424370904,
strong,45,labevents::51249::MCHC::valuenum,MCHC,labevents,lab_other,observed_fraction,1.0,0.055304449051618576,-0.03841177290268653,0.4661826208118398,0.13336628454099042,0.9532955454712506,0.0020259784865337416,0.3105878503944251,35,3,50.0,0.22666384120989358,0.9375,0.03399999558459967,False,0.5110930217849943,
strong,59,labevents::51237::INR(PT)::valuenum,INR(PT),labevents,lab_coagulation,last,0.6374064837905237,0.0370635911822319,0.07459759787968172,0.5634955216654564,0.16423193107846829,1.1739216463897644,0.009699873748381105,0.3717740793542085,43,2,23.0,0.3493526395423579,0.65,0.03531837873269979,False,0.4969395388519816,
strong,61,labevents::51275::PTT::valuenum,PTT,labevents,lab_coagulation,min,0.6286783042394015,0.039359934628009796,0.026821742197038083,0.5462003999068179,0.14508963159913335,1.037093445120365,0.015551684516150743,0.3057947700321845,44,1,41.0,0.2795187263291773,0.8875,0.02058926027202688,False,0.4875229281002622,
strong,40,labevents::51221::Hematocrit::valuenum,Hematocrit,labevents,lab_cbc,slope,0.13553615960099752,0.06032314896583557,-0.0844161779098383,0.4414059255157136,0.13871655444462772,0.991539007705806,0.00455243825453544,0.3122346633405835,33,1,36.0,0.3023920520263239,0.9875,0.04415690687601455,False,0.4868073482956081,
strong,65,labevents::51200::Eosinophils::valuenum,Eosinophils,labevents,lab_blood_gas_respiration,min,0.23665835411471323,0.01108686625957489,-0.07929775798816928,0.42278418624161074,0.13366887097318622,0.9554584181862331,0.006911148432275471,0.29600253030864837,48,1,40.0,0.2848158040365591,0.9875,0.06564437736524269,False,0.47871659450406584,
strong,50,"labevents::50893::Calcium, Total::valuenum","Calcium, Total",labevents,lab_electrolyte,observed_fraction,1.0,0.05838528648018837,-0.06063888117717599,0.45238176453532997,0.1290138280181713,0.9221844034810462,0.004872434481710597,0.355359193578425,22,8,47.0,0.26476328268044513,0.75,0.11063799459370785,False,0.4782744247401941,
strong,62,labevents::51256::Neutrophils::valuenum,Neutrophils,labevents,lab_blood_gas_respiration,max,0.23665835411471323,0.01108686625957489,0.048134618454767984,0.5526887583892617,0.18802220851058524,1.3439733620810104,0.02532071624609933,0.32503191036263107,45,1,32.0,0.31818010611825964,0.8625,0.032247506076964784,False,0.4765920751869273,
strong,7,chartevents::220050::Arterial Blood Pressure systolic::valuenum,Arterial Blood Pressure systolic,chartevents,vital_blood_pressure,std,0.1669576059850374,0.094903364777565,-0.08084451542635054,0.43500046884523413,0.16669586570527156,1.191533728125025,0.00795798591636343,0.342919464898097,4,1,34.0,0.313780140713585,0.85,0.014118830323695875,False,0.46457160006793286,low_or_high_may_indicate_instability
strong,9,chartevents::220052::Arterial Blood Pressure mean::valuenum,Arterial Blood Pressure mean,chartevents,vital_blood_pressure,mean,0.17032418952618453,0.09560474008321762,-0.04204425542217567,0.4860168933536505,0.1707054653701365,1.2201941464068582,0.01710557416099956,0.2837737915643212,6,1,43.0,0.27094522925135717,0.9875,0.06444036052562296,False,0.45841455642191486,low_or_high_may_indicate_instability
review,1,chartevents::220210::Respiratory Rate::valuenum,Respiratory Rate,chartevents,vital_respiratory_rate,observed_fraction,1.0,0.6187344193458557,-0.15406701293652816,0.38211629969471117,0.11691255573404159,0.8356851131791565,0.023984630647141403,0.5784850444545786,1,3,12.0,0.4293440890914919,0.475,0.1894506741256919,False,0.5793788466697068,higher_may_indicate_respiratory_distress
